Teams,Rating
"cincinnati-bengals,detroit-lions,tampa-bay-buccaneers",92.15
"cincinnati-bengals,indianapolis-colts,los-angeles-rams",92.15
"cincinnati-bengals,jacksonville-jaguars,miami-dolphins",92.15
"cincinnati-bengals,los-angeles-rams,minnesota-vikings",92.15
"cleveland-browns,indianapolis-colts,minnesota-vikings",92.15
"green-bay-packers,houston-texans,new-orleans-saints",92.15
"green-bay-packers,minnesota-vikings,seattle-seahawks",92.15
"indianapolis-colts,minnesota-vikings,new-york-jets",92.15
"jacksonville-jaguars,minnesota-vikings,tennessee-titans",92.15
"jacksonville-jaguars,new-york-giants,seattle-seahawks",92.15
"arizona-cardinals,cincinnati-bengals,pittsburgh-steelers",92.16
"buffalo-bills,jacksonville-jaguars,pittsburgh-steelers",92.16
"buffalo-bills,los-angeles-chargers,new-orleans-saints",92.16
"carolina-panthers,green-bay-packers,new-york-giants",92.16
"carolina-panthers,los-angeles-chargers,philadelphia-eagles",92.16
"cincinnati-bengals,green-bay-packers,washington-commanders",92.16
"cincinnati-bengals,los-angeles-chargers,philadelphia-eagles",92.16
"cincinnati-bengals,los-angeles-rams,seattle-seahawks",92.16
"cincinnati-bengals,pittsburgh-steelers,washington-commanders",92.16
"cleveland-browns,jacksonville-jaguars,minnesota-vikings",92.16
"denver-broncos,minnesota-vikings,new-orleans-saints",92.16
"denver-broncos,new-york-jets,pittsburgh-steelers",92.16
"green-bay-packers,los-angeles-chargers,tennessee-titans",92.16
"jacksonville-jaguars,los-angeles-rams,new-england-patriots",92.16
"jacksonville-jaguars,los-angeles-rams,new-orleans-saints",92.16
"arizona-cardinals,cincinnati-bengals,los-angeles-rams",92.17
"arizona-cardinals,denver-broncos,los-angeles-chargers",92.17
"arizona-cardinals,green-bay-packers,new-orleans-saints",92.17
"atlanta-falcons,cincinnati-bengals,seattle-seahawks",92.17
"atlanta-falcons,los-angeles-chargers,seattle-seahawks",92.17
"buffalo-bills,carolina-panthers,los-angeles-rams",92.17
"buffalo-bills,chicago-bears,jacksonville-jaguars",92.17
"buffalo-bills,denver-broncos,minnesota-vikings",92.17
"buffalo-bills,new-york-giants,new-york-jets",92.17
"carolina-panthers,jacksonville-jaguars,tampa-bay-buccaneers",92.17
